Thrust (N),0.0 m/s,2.0 m/s,4.0 m/s,6.0 m/s,8.0 m/s,10.0 m/s,12.0 m/s,14.0 m/s,16.0 m/s,18.0 m/s,20.0 m/s,22.0 m/s,24.0 m/s,26.0 m/s,28.0 m/s,30.0 m/s,32.0 m/s,34.0 m/s,36.0 m/s,38.0 m/s,40.0 m/s,42.0 m/s,44.0 m/s,46.0 m/s,48.0 m/s,50.0 m/s,52.0 m/s,54.0 m/s,56.0 m/s,58.0 m/s,60.0 m/s,62.0 m/s,64.0 m/s,66.0 m/s,68.0 m/s,70.0 m/s,72.0 m/s,74.0 m/s,76.0 m/s,78.0 m/s,80.0 m/s,82.0 m/s,84.0 m/s,86.0 m/s,88.0 m/s,90.0 m/s,92.0 m/s,94.0 m/s,96.0 m/s,98.0 m/s,100.0 m/s,102.0 m/s,104.0 m/s,106.0 m/s,108.0 m/s,110.0 m/s,112.0 m/s,114.0 m/s,116.0 m/s,118.0 m/s,120.0 m/s,122.0 m/s,124.0 m/s,126.0 m/s,128.0 m/s,130.0 m/s,132.0 m/s,134.0 m/s,136.0 m/s,138.0 m/s,140.0 m/s,142.0 m/s,144.0 m/s,146.0 m/s,148.0 m/s,150.0 m/s,152.0 m/s,154.0 m/s,156.0 m/s,158.0 m/s,160.0 m/s,162.0 m/s,164.0 m/s,166.0 m/s,168.0 m/s,170.0 m/s,172.0 m/s,174.0 m/s,176.0 m/s,178.0 m/s,180.0 m/s
208.172,4066.7027630203706,4164.737655451144,4265.097783411076,4369.306914735485,4476.703071677298,4587.499541736417,4701.857586658293,4819.179015459984,4939.9851217370015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206.955,4031.243162692404,4128.517061478609,4228.515761035837,4331.623387110104,4438.724495261593,4548.559163145215,4662.33867066692,4778.763924845298,4898.90720095373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205.737,3995.8058464996034,4092.3720729437205,4191.924415414097,4294.0418495485965,4400.7147121273865,4509.586787529698,4622.798204231622,4738.578546672933,4857.795526743357,4980.296831525503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204.52,3960.775721414509,4056.644991564654,4155.4360852773125,4257.180863781278,4362.7361357116815,4471.147981282466,4583.3939164094,4698.438637074911,4816.717605960087,4938.861865682287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203.302,3925.716812331809,4020.8885535040913,4118.9177729464955,4220.2895896115215,4324.726352577474,4432.841536651222,4544.098871627006,4658.571804172327,4775.949587073535,4897.392853030653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.085,3890.7272348953816,3985.341227868168,4082.6688630359213,4183.4710494573155,4287.0370172029025,4394.566542302927,4504.836088786142,4618.737702659647,4735.450358045322,4855.957887187438,4979.584412611183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.868,3855.8496215150194,3950.046948726477,4046.677730805883,4146.704478615938,4249.887355474824,4356.291547954632,4466.161392969301,4579.0344682860605,4694.992281453048,4814.522921344222,4937.781010450224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.65,3820.9433494548057,3914.7236685337243,4010.657024925698,4109.907696952177,4212.707168141383,4317.985103323388,4427.537597825583,4539.41494102095,4654.790147651576,4773.433137500748,4895.943258739421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.433,3786.3819458359053,3879.518967773121,3974.972815953743,4073.5071448618796,4175.62010780793,4280.152717475084,4388.945513515316,4499.830879592877,4614.621020528101,4732.58131125034,4854.139856578462,4978.877645164963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197.216,3752.2958089100075,3844.378383844831,3939.4177170693238,4037.2416097078653,4138.565592699234,4242.712662940655,4350.353429205049,4460.919736867414,4574.610224364513,4691.796829798855,4812.336454417503,4936.6850660456985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.998,3718.1816636546714,3809.208925155712,3903.8334028201666,4000.9462754288265,4101.480630166454,4205.241844187215,4311.729634061329,4421.976621140531,4534.657237888713,4651.244355753692,4770.913305365496,4894.457817592727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194.781,3684.0955267287736,3774.6569326537556,3868.4164527595326,3965.108673030895,4064.9108556173965,4167.884210999387,4273.723354807762,4383.065478415068,4494.826821753459,4610.725176022196,4729.697396070033,4852.265238473463,4977.808141721848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.563,3649.9813814734375,3740.2857430624495,3832.987109138326,3929.2530977545025,4028.331224046402,4130.509310475768,4235.941851200908,4344.1223626881865,4455.555299241743,4570.357358035673,4688.541556252438,4810.037990020492,4935.173085048269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.346,3615.89524454754,3705.942772838625,3797.6416310301593,3893.455589138791,3991.8811914297025,4093.2581773156085,4198.195995241493,4305.211219962724,4416.316019359349,4530.089026102151,4647.660787383422,4768.29672568805,4892.573032526312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191.129,3582.220640326265,3671.5998026147995,3763.0449460801633,3857.7854911105205,3955.7743943608475,4056.4225385347327,4160.542115640373,4267.034556058891,4377.076739476955,4489.994139307132,4606.780018514406,4726.696352390238,4849.972980004354,4976.340634312094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189.911,3548.878259653492,3637.2286130234943,3728.4198332871524,3822.086083223559,3919.6379286008937,4019.5566321788533,4122.857296121751,4228.940192833643,4337.805216965241,4450.379414865254,4566.076663025749,4685.183110235806,4807.337923330776,4933.283603530869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188.694,3515.5632536774942,3602.8856427996693,3693.8231483371565,3786.7243662199194,3883.6028543747657,3982.9302134760824,4085.4048601485547,4190.900437767505,4298.59716115661,4410.797214827679,4525.448602672071,4643.920575558507,4765.231750103138,4890.261923349628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
