Thrust (N),0.0 m/s,2.0 m/s,4.0 m/s,6.0 m/s,8.0 m/s,10.0 m/s,12.0 m/s,14.0 m/s,16.0 m/s,18.0 m/s,20.0 m/s,22.0 m/s,24.0 m/s,26.0 m/s,28.0 m/s,30.0 m/s,32.0 m/s,34.0 m/s,36.0 m/s,38.0 m/s,40.0 m/s,42.0 m/s,44.0 m/s,46.0 m/s,48.0 m/s,50.0 m/s,52.0 m/s,54.0 m/s,56.0 m/s,58.0 m/s,60.0 m/s,62.0 m/s,64.0 m/s,66.0 m/s,68.0 m/s,70.0 m/s,72.0 m/s,74.0 m/s,76.0 m/s,78.0 m/s,80.0 m/s,82.0 m/s,84.0 m/s,86.0 m/s,88.0 m/s,90.0 m/s,92.0 m/s,94.0 m/s,96.0 m/s,98.0 m/s,100.0 m/s,102.0 m/s,104.0 m/s,106.0 m/s,108.0 m/s,110.0 m/s,112.0 m/s,114.0 m/s,116.0 m/s,118.0 m/s,120.0 m/s,122.0 m/s,124.0 m/s,126.0 m/s,128.0 m/s,130.0 m/s,132.0 m/s,134.0 m/s,136.0 m/s,138.0 m/s,140.0 m/s,142.0 m/s,144.0 m/s,146.0 m/s,148.0 m/s,150.0 m/s,152.0 m/s,154.0 m/s,156.0 m/s,158.0 m/s,160.0 m/s,162.0 m/s,164.0 m/s,166.0 m/s,168.0 m/s,170.0 m/s,172.0 m/s,174.0 m/s,176.0 m/s,178.0 m/s,180.0 m/s
205.737,4265.99600141507,4358.211234692957,4452.243143119672,4550.58007680231,4651.427403728404,4755.173655432993,4862.27616955009,4972.5821928438345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204.52,4228.1761686973405,4319.29329861169,4413.091049077777,4510.477374791076,4610.823781316607,4714.139870686036,4820.281159879972,4930.2082186044445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203.302,4190.350153021594,4280.77447800397,4373.906784046529,4470.851263107769,4570.37290166976,4673.177651211304,4778.53264492525,4887.7994259803045,4999.239060481068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.085,4152.6276315745245,4242.71006070288,4334.754690004634,4431.437543346964,4530.022744011819,4632.304301545346,4737.080235762907,4845.4254517409145,4956.560017354678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.868,4114.905110127453,4204.645643401787,4295.699049460883,4392.023823586158,4489.849995923996,4591.484442667565,4695.660533221091,4803.051477501523,4913.880974228287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.65,4077.4644652433512,4166.636032768563,4257.374259565984,4352.577717860059,4450.160407951157,4550.832862075351,4654.484407937321,4761.200552913991,4871.166862044274,4983.616995115088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.433,4040.2584941933305,4128.669574489547,4219.080935015826,4313.163998099253,4410.503405846932,4510.214657165067,4613.342088996147,4719.427206175193,4828.4878189178835,4940.637942784743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197.216,4003.0525231433103,4090.830447861171,4180.837060297577,4274.326180270203,4370.846403742708,4470.11873233796,4572.373277857066,4677.837111624071,4786.009827311691,4897.6588904544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.998,3966.232138037994,4053.353214958845,4142.6109127092395,4235.74549661527,4331.156815769868,4430.165475213483,4531.454142497865,4636.3722888229795,4743.900859339504,4854.644522551063,4968.164719803133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194.781,3929.4791141798532,4015.9067515416614,4104.416149478529,4197.203705914407,4291.686280167115,4390.245020434756,4490.7305897098,4594.973062680241,4701.826463590612,4811.66547022072,4924.867619374024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
